,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income>50K
0,1,6,15070,2,16,2,10,2,4,2,1,1,15,2,0
1,59,5,15071,2,16,1,2,1,2,1,1,1,53,5,1
2,2,2,9535,3,9,1,7,6,2,2,1,1,38,2,0
3,5,1,15072,6,15,1,3,1,5,1,1,1,54,2,1
4,26,3,3413,10,10,1,7,1,2,1,1,1,56,2,0
5,6,2,15073,15,15,5,4,4,3,2,1,1,30,2,0
6,52,2,15074,7,7,1,3,1,2,1,1,1,52,2,0
7,45,2,15075,2,16,1,8,1,2,1,1,1,15,21,0
8,5,4,15076,13,13,1,14,1,2,1,1,1,72,2,1
9,21,1,15077,5,13,3,1,5,2,1,1,1,54,19,0
10,44,6,1694,6,15,3,10,5,2,2,1,1,70,8,0
11,21,2,15078,3,9,1,5,1,2,1,1,1,54,2,0
12,7,6,15079,6,15,3,10,5,2,2,1,1,80,2,0
13,6,2,10663,6,15,1,6,1,2,1,1,1,72,2,0
14,11,2,15080,6,15,3,7,4,2,2,1,1,48,2,0
15,21,2,15081,3,9,2,2,3,2,2,95,1,54,2,0
16,19,2,15082,6,15,2,7,3,2,2,1,1,72,2,0
17,45,1,15083,2,16,2,8,4,2,1,1,35,36,2,1
18,37,2,2457,2,16,1,2,1,2,1,1,1,72,2,0
19,11,1,2925,2,16,3,12,4,2,2,1,1,72,2,0
20,4,5,8144,4,14,3,1,4,2,1,5,1,36,2,1
21,4,6,15084,3,9,1,10,6,3,2,14,1,15,2,0
22,48,2,15085,3,9,1,3,1,2,1,1,1,72,2,1
23,14,2,15086,9,9,1,3,1,3,1,1,1,72,38,0
24,2,3,15087,2,16,3,14,4,2,1,1,41,54,2,0
25,60,4,15088,3,9,1,3,1,2,1,69,1,40,2,0
26,3,6,15089,3,9,1,10,6,2,2,1,1,70,2,1
27,51,6,10548,8,8,1,10,1,2,1,1,1,72,2,0
28,8,2,10738,3,9,3,2,4,2,2,1,1,72,2,0
29,26,2,15090,10,10,3,8,4,2,1,1,1,67,2,0
30,50,2,66,2,16,1,5,6,2,2,1,1,30,6,1
31,50,2,12645,3,9,1,2,1,3,1,1,1,72,2,1
32,16,2,15091,10,10,1,8,1,2,1,1,1,72,2,0
33,38,2,15092,3,9,2,6,4,2,2,1,1,72,2,0
34,45,2,6710,2,16,1,1,1,2,1,2,1,30,2,1
35,30,5,15093,5,13,1,8,1,2,1,1,1,72,2,1
36,21,2,6402,3,9,3,4,3,3,1,1,1,62,2,0
37,28,2,15094,3,9,2,8,4,5,2,1,1,54,2,0
38,24,2,7692,2,16,3,7,2,1,2,1,1,76,2,0
39,14,6,15095,6,15,3,10,4,3,2,1,1,72,2,0
40,11,2,15096,6,15,2,8,5,2,2,1,1,30,2,0
41,14,2,7554,11,13,1,3,1,2,1,38,1,72,2,0
42,11,2,4388,3,9,1,3,1,2,1,1,1,54,2,1
43,38,2,6325,3,9,1,3,1,2,1,1,1,72,2,0
44,50,2,1691,3,9,1,7,6,2,2,1,1,62,2,0
45,53,3,15097,6,15,1,7,1,2,1,24,1,72,2,1
46,8,2,15098,3,9,3,5,4,2,2,1,1,30,2,0
47,26,1,15099,6,15,3,3,5,2,1,1,1,54,28,0
48,8,2,15100,1,12,3,1,4,2,2,1,1,48,2,0
49,6,6,4509,14,14,1,10,1,2,1,1,1,72,6,0
50,34,2,687,7,7,1,7,6,2,2,1,1,40,2,0
51,22,2,15101,7,7,1,3,1,2,1,1,46,62,2,0
52,37,2,15102,9,9,3,9,4,2,1,1,1,54,2,0
