,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income>50K
0,53,1,93449,1,15,1,1,1,1,1,0,0,40,1,1
1,33,1,123424,2,13,1,2,1,2,1,0,0,40,2,1
2,47,2,144844,3,9,1,3,1,2,1,0,0,40,2,0
3,40,2,114580,3,9,2,3,2,2,2,0,0,40,3,0
4,39,2,115618,3,9,1,4,1,2,1,0,0,50,2,0
5,33,2,159322,3,9,2,5,3,2,1,0,0,40,2,0
6,55,2,50164,4,16,1,2,1,2,1,0,0,60,2,1
7,39,2,370032,5,14,1,1,1,2,1,0,0,45,2,0
8,22,2,209034,6,10,3,5,4,2,2,0,0,35,2,0
9,27,2,94090,6,10,1,6,1,2,1,0,0,50,2,0
10,33,2,105974,3,9,3,3,4,2,1,0,0,41,2,0
11,37,3,32528,3,9,1,7,1,2,1,0,0,40,4,1
12,79,4,84616,7,7,1,2,1,2,1,0,0,7,2,0
13,31,2,56026,3,9,1,3,1,2,1,0,0,40,2,0
14,37,2,61518,3,9,1,8,1,2,1,0,0,50,2,0
15,47,2,503454,8,8,3,7,2,3,2,0,0,40,2,0
16,19,2,91893,6,10,3,9,5,2,1,0,0,24,2,0
17,21,2,214399,6,10,3,5,5,2,2,0,1721,24,2,0
18,56,5,321529,6,10,1,2,1,2,1,15024,0,40,2,1
19,26,2,111058,2,13,3,8,5,2,1,0,0,50,2,0
20,27,2,255476,9,3,3,5,2,2,1,0,0,40,5,0
21,55,2,335276,6,10,3,7,5,2,2,0,0,40,2,0
22,42,4,117227,5,14,2,1,3,2,2,0,0,45,2,0
23,30,2,197058,10,12,3,1,4,2,2,0,0,40,2,0
24,56,2,199713,11,5,1,3,1,2,1,0,0,40,2,0
25,35,3,22494,2,13,2,1,4,2,2,0,0,50,2,1
26,19,2,141418,6,10,3,1,5,2,1,0,0,15,2,0
27,56,4,273084,5,14,1,2,1,3,1,0,0,40,2,1
28,68,1,122094,3,9,1,3,1,2,1,0,0,15,2,0
29,38,2,203717,2,13,1,10,1,2,1,0,0,60,2,0
30,21,2,163665,6,10,3,1,5,2,2,0,0,40,2,0
31,34,4,161113,6,10,1,4,1,2,1,0,0,40,2,0
32,32,2,195576,7,7,1,6,1,2,1,0,0,40,2,0
33,72,2,74141,11,5,1,2,6,1,2,0,0,48,2,1
34,24,2,209417,6,10,1,8,1,2,1,7298,0,60,2,1
35,19,2,183532,6,10,3,9,5,2,1,0,0,25,2,0
36,50,2,102346,3,9,2,7,3,2,2,0,0,36,2,0
37,28,2,162298,3,9,3,3,5,2,1,0,0,40,2,0
38,72,2,164724,2,13,2,8,3,2,2,0,0,28,2,0
39,49,2,59380,6,10,4,7,4,2,2,0,0,40,2,0
40,37,2,188069,3,9,1,6,1,2,1,0,0,40,2,0
41,29,2,142712,2,13,1,2,1,2,1,0,0,40,2,1
