,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income>50K
0,1,1,1,1,12,1,1,1,1,1,1,1,72,1,1
1,2,1,2,2,16,1,2,1,2,1,1,1,72,2,1
2,3,2,3,3,9,1,3,1,2,1,1,1,72,2,0
3,4,2,4,3,9,2,3,2,2,2,1,1,72,3,0
4,5,2,5,3,9,1,4,1,2,1,1,1,54,2,0
5,2,2,6,3,9,2,5,3,2,1,1,1,72,2,0
6,6,2,7,4,14,1,2,1,2,1,1,1,56,2,1
7,5,2,8,5,13,1,1,1,2,1,1,1,48,2,0
8,7,2,9,6,15,3,5,4,2,2,1,1,30,2,0
9,8,2,10,6,15,1,6,1,2,1,1,1,54,2,0
10,2,2,11,3,9,3,3,4,2,1,1,1,40,2,0
11,9,3,12,3,9,1,7,1,2,1,1,1,72,4,1
12,10,4,13,7,7,1,2,1,2,1,1,1,7,2,0
13,11,2,14,3,9,1,3,1,2,1,1,1,72,2,0
14,9,2,15,3,9,1,8,1,2,1,1,1,54,2,0
15,3,2,16,8,8,3,7,2,3,2,1,1,72,2,0
16,12,2,17,6,15,3,9,5,2,1,1,1,70,2,0
17,13,2,18,6,15,3,5,5,2,2,1,2,70,2,0
18,14,5,19,6,15,1,2,1,2,1,2,1,72,2,1
19,15,2,20,2,16,3,8,5,2,1,1,1,54,2,0
20,8,2,21,9,9,3,5,2,2,1,1,1,72,5,0
21,6,2,22,6,15,3,7,5,2,2,1,1,72,2,0
22,16,4,23,5,13,2,1,3,2,2,1,1,48,2,0
23,45,2,24,10,10,3,1,4,2,2,1,1,72,2,0
24,14,2,25,11,13,1,3,1,2,1,1,1,72,2,0
25,38,3,26,2,16,2,1,4,2,2,1,1,54,2,1
26,12,6,27,6,15,3,10,5,2,1,1,1,83,2,0
27,14,4,28,5,13,1,2,1,3,1,1,1,72,2,1
28,19,1,29,3,9,1,3,1,2,1,1,1,83,2,0
29,34,2,30,2,16,1,11,1,2,1,1,1,56,2,0
30,13,6,31,6,15,3,10,5,2,2,1,1,72,2,0
31,21,4,32,6,15,1,4,1,2,1,1,1,72,2,0
32,22,2,33,7,7,1,6,1,2,1,1,1,72,2,0
33,44,2,34,11,13,1,2,6,1,2,1,1,52,2,1
34,24,2,35,6,15,1,8,1,2,1,3,1,56,2,1
35,12,2,36,6,15,3,9,5,2,1,1,1,55,2,0
36,48,2,37,3,9,2,7,3,2,2,1,1,87,6,0
37,26,2,38,3,9,3,3,5,2,1,1,1,72,2,0
38,44,2,39,2,16,2,8,3,2,2,1,1,85,2,0
39,27,2,40,6,15,4,7,4,2,2,1,1,72,2,0
40,9,2,41,3,9,1,6,1,2,1,1,1,72,2,0
41,28,2,42,2,16,1,2,1,2,1,1,1,72,2,1
42,29,4,43,11,13,1,4,1,3,1,1,1,72,2,0
43,30,5,44,3,9,1,11,1,2,1,1,1,72,2,1
44,31,2,45,3,9,1,4,1,2,1,1,1,72,2,0
45,8,2,46,2,16,3,12,5,2,1,1,1,72,2,0
46,22,2,47,12,12,1,6,1,2,1,1,1,72,5,0
47,30,2,48,3,9,1,8,1,2,1,1,1,54,2,0
48,4,2,49,6,15,2,6,4,2,1,1,1,72,2,0
49,45,7,50,7,7,1,4,1,2,1,1,1,72,2,0
50,29,6,51,5,13,1,10,1,2,1,1,1,72,2,0
51,9,2,52,6,15,2,5,3,2,2,1,1,49,2,0
52,32,2,53,12,12,5,13,2,2,2,1,1,72,7,0
53,33,2,54,13,13,2,5,4,2,1,1,1,15,2,0
54,34,2,55,3,9,3,9,5,3,1,1,1,15,2,0
55,35,2,56,14,14,1,5,1,2,1,1,1,48,2,0
56,38,2,57,3,9,2,3,4,2,1,1,1,72,2,0
57,47,2,58,4,14,5,1,3,2,1,4,1,72,8,1
58,29,1,59,1,12,1,1,1,4,1,5,1,76,1,1
59,37,4,60,10,10,2,5,4,2,2,6,1,62,2,0
60,2,2,61,8,8,2,3,4,2,1,1,3,44,2,0
61,34,7,62,10,10,3,7,4,3,1,1,1,72,2,0
62,38,7,63,3,9,2,3,5,2,1,1,1,72,2,0
63,21,2,64,3,9,3,12,4,2,1,1,1,72,2,0
64,38,2,65,6,15,3,5,5,2,1,1,1,15,2,0
65,39,2,66,8,8,2,6,3,2,2,1,1,72,2,0
66,16,1,67,3,9,2,8,5,2,1,1,1,54,6,0
67,3,4,68,6,15,1,14,1,2,1,1,1,72,2,1
68,15,2,69,13,13,3,3,4,2,1,1,1,67,2,0
69,2,2,70,6,15,1,6,1,3,1,1,1,72,2,0
70,16,2,71,3,9,1,3,1,2,1,7,1,54,2,1
71,29,4,72,3,9,1,14,1,2,1,1,1,76,2,0
72,40,1,73,2,16,1,11,1,2,1,1,1,62,2,0
